	total_cells	MOI	library_size	total_transfection_events	gt_collisions	estimated_collisions	estimated_collision_rate	gt_collision_rate	percent_estimation_error
148	201000	55	70000	11057883	6710	6834.4772260878235	0.0006180638035406798	0.0006068069267869808	1.8551002397589187
149	201000	55	90000	11070445	5291	5317.622866546735	0.0004803440933536759	0.0004779392336983744	0.5031726809059672
150	201000	60	10000	12079445	56034	56707.698037050664	0.004694561549562141	0.004638789282123475	1.202302239802021
151	201000	60	30000	12082883	18946	19047.666191546246	0.001576417332812562	0.0015680032654458377	0.5366103216839767
152	201000	60	50000	12075779	11429	11384.156523345038	0.0009427264711738297	0.0009464399770813957	0.3923657070168966
153	201000	60	70000	12019678	8065	8077.252262117341	0.0006720023832682823	0.0006709830329897356	0.15191893511893312
154	201000	60	90000	12061175	6485	6317.391254447401	0.000523779089056199	0.0005376756410548723	2.584560455706999
155	201000	65	10000	13098580	66293	66827.72329195403	0.005101905954077009	0.005061082957083898	0.8066059643612752
156	201000	65	30000	13066086	22131	22179.61514482461	0.0016974949609871394	0.001693774248845446	0.2196698966364322
157	201000	65	50000	13038850	13135	13279.772847158834	0.0010184773079802924	0.0010073741165823674	1.102191451532809
158	201000	65	70000	13048135	9373	9511.257600199431	0.0007289361736523597	0.000718340207240345	1.475062415442572
159	201000	65	90000	13041263	7230	7382.040060054511	0.0005660525410809145	0.0005543941564555519	2.102905394944814
160	201000	70	10000	14063574	76523	76785.1762426272	0.005459862211599072	0.005441219991447409	0.34261103541052895
161	201000	70	30000	14041970	25751	25573.26637343131	0.0018212021798530626	0.0018338594940738371	0.6902008720775472
162	201000	70	50000	14107669	15654	15566.315528340638	0.0011033938723924298	0.0011096092487001218	0.5601409969296076
163	201000	70	70000	14099199	11193	11105.366816228256	0.0007876594135757823	0.0007938748860839541	0.7829284711135911
164	201000	70	90000	14062641	8506	8587.264102071524	0.0006106437689813402	0.0006048650463309133	0.9553738781039538
165	201000	75	10000	15059388	88388	88367.08965200931	0.005867907092373828	0.005869295618122065	0.023657451227196636
