
CondaError: Run 'conda init' before 'conda deactivate'

---FILE SRR21787460_1_uniq.hist ---
---LC_EXTRAP---
TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
4280000000.0	279485126.1	273071433.6	288296296.9
4290000000.0	279949919.9	273498606.1	288819606.5
4300000000.0	280414313.5	273925282.8	289342717.7
4310000000.0	280878307.8	274351464.9	289865631.3
4320000000.0	281341903.5	274777153.4	290388348.0
4330000000.0	281805101.5	275202349.2	290912027.9
4340000000.0	282267902.5	275627053.4	291438295.6
4350000000.0	282730307.4	276051266.9	291964404.2
4360000000.0	283192316.8	276474990.9	292490354.7
4370000000.0	283653653.0	276898226.2	293016147.6
4380000000.0	284113160.6	277320974.0	293541783.9
4390000000.0	284572263.5	277743235.1	294067264.1
4400000000.0	285030962.5	278165010.5	294592589.1
4410000000.0	285489258.3	278586301.4	295117759.6
4420000000.0	285947151.8	279007108.5	295642776.4
4430000000.0	286404643.6	279427433.0	296167640.0
4440000000.0	286861734.6	279847275.7	296691966.4
4450000000.0	287318425.5	280266637.7	297211583.5
4460000000.0	287774717.0	280685519.9	297730963.9
4470000000.0	288230610.0	281103923.3	298250131.4
4480000000.0	288686105.2	281521848.9	298769060.4
4490000000.0	289141203.3	281939297.5	299287787.6
4500000000.0	289595905.1	282356270.2	299806313.3
4510000000.0	290050211.2	282772767.9	300324638.2
4520000000.0	290504381.0	283188791.5	300842762.9
4530000000.0	290960408.6	283604342.1	301362887.1
4540000000.0	291416060.0	284019420.4	301883703.4
4550000000.0	291871335.9	284434027.5	302404358.7
4560000000.0	292326237.0	284848164.4	302924853.7
4570000000.0	292780763.9	285261831.8	303445188.9
4580000000.0	293234917.6	285675030.8	303965365.1
4590000000.0	293689382.3	286087762.2	304485382.8
4600000000.0	294144502.1	286500027.1	305005242.6
4610000000.0	294599259.6	286911826.2	305524945.3
4620000000.0	295053655.5	287323160.6	306044491.3
4630000000.0	295507690.5	287734031.1	306563881.4
4640000000.0	295961365.2	288144438.6	307083116.1
4650000000.0	296414680.3	288554384.0	307602196.1
4660000000.0	296867636.6	288963868.3	308121121.8
4670000000.0	297320234.6	289372892.3	308639894.1
4680000000.0	297772475.1	289781457.0	309158513.3
4690000000.0	298223482.9	290189563.1	309676980.2
4700000000.0	298673390.1	290597211.6	310195295.2
4710000000.0	299122932.5	291004403.5	310713459.1
4720000000.0	299572110.8	291411139.5	311231472.3
4730000000.0	300020925.6	291817420.5	311749335.5
4740000000.0	300469377.5	292223247.4	312267049.2
4750000000.0	300917467.2	292628621.2	312783732.9
4760000000.0	301365195.4	293033542.5	313299973.3
4770000000.0	301812562.8	293438012.4	313816053.9
4780000000.0	302259569.9	293842031.7	314331975.2
4790000000.0	302706217.4	294245601.3	314847737.7
4800000000.0	303152505.9	294648721.9	315363341.9
4810000000.0	303598436.2	295051397.3	315878788.3
4820000000.0	304044008.7	295453633.0	316394077.5
4830000000.0	304489224.3	295855422.4	316909210.0
4840000000.0	304934083.4	296256766.3	317424186.3
4850000000.0	305378586.7	296657665.6	317939007.0
4860000000.0	305822734.8	297058121.1	318453672.4
4870000000.0	306265877.5	297458133.7	318968183.2
4880000000.0	306707232.5	297857704.1	319482539.7
4890000000.0	307148223.3	298256833.3	319996742.6
4900000000.0	307588850.5	298655521.9	320510792.3
4910000000.0	308029115.0	299053771.0	321024689.4
4920000000.0	308469017.1	299451581.3	321538434.2
4930000000.0	308908557.6	299848953.5	322052027.2
4940000000.0	309347737.1	300245888.6	322565469.1
4950000000.0	309786556.2	300642387.3	323078760.2
4960000000.0	310225015.4	301038450.5	323591901.0
4970000000.0	310665600.3	301434079.0	324104891.9
4980000000.0	311107255.6	301829273.5	324617733.6
4990000000.0	311548573.7	302224034.9	325130426.3
5000000000.0	311986628.6	302618364.0	325642970.7
5010000000.0	312423427.0	303012285.9	326155367.1
5020000000.0	312859870.3	303405795.9	326667586.5
5030000000.0	313295959.0	303798876.0	327179586.8
5040000000.0	313731693.7	304191527.2	327691439.2
5050000000.0	314166467.3	304583750.2	328203144.4
5060000000.0	314600084.6	304975545.7	328714702.8
5070000000.0	315033341.3	305366914.6	329226114.7
5080000000.0	315466237.9	305757857.7	329737380.7
5090000000.0	315898775.0	306148375.6	330248501.1
5100000000.0	316330953.3	306538469.3	330759476.5
5110000000.0	316762773.3	306928139.4	331270307.1
5120000000.0	317194235.6	307317386.8	331780993.6
5130000000.0	317625340.8	307706212.2	332291536.2
5140000000.0	318056089.4	308094616.3	332801935.4
5150000000.0	318486482.1	308482600.0	333312191.7
5160000000.0	318916519.3	308870164.0	333809788.5
5170000000.0	319346201.7	309257309.1	334303049.3
5180000000.0	319775529.9	309644036.0	334796062.5
5190000000.0	320204504.4	310030345.5	335288828.4
5200000000.0	320633125.8	310416238.3	335781347.3
5210000000.0	321061394.6	310801715.2	336273619.7
5220000000.0	321489311.4	311186776.9	336765645.9
5230000000.0	321916876.8	311571424.2	337257426.3
5240000000.0	322344091.3	311955657.8	337748961.2
5250000000.0	322770955.5	312339478.5	338240251.0
5260000000.0	323197469.9	312722887.0	338731296.1
5270000000.0	323623635.1	313105884.0	339241505.5
5280000000.0	324049451.6	313488470.4	339752046.2
5290000000.0	324474920.1	313870646.7	340262469.9
5300000000.0	324900040.9	314252413.7	340772777.1
5310000000.0	325324814.7	314633772.2	341282968.2
5320000000.0	325749242.1	315014722.9	341793043.6
5330000000.0	326173323.5	315395266.6	342303003.7
5340000000.0	326597059.5	315775403.8	342812849.0
5350000000.0	327020450.7	316155135.5	343322579.7
5360000000.0	327443497.5	316534462.2	343832196.4
5370000000.0	327866200.5	316913384.6	344341699.5
5380000000.0	328288560.3	317291903.6	344851089.3
5390000000.0	328710577.4	317670019.9	345360366.2
5400000000.0	329132252.2	318047734.0	345869530.7
5410000000.0	329553585.4	318425046.8	346378583.1
5420000000.0	329974577.4	318801958.9	346887523.9
